founder,username,product,current_votes,career_votes,peak_votes,products_launched,serial_founder,launches_12mo,tenure_days,co_founder_present,team_size,topics,comments,twitter,website,headline,ph_profile
Ning Hu,ninghu,ZooData,544,1283,544,3,True,2,572,True,3,Developer Tools; Artificial Intelligence; E-Commerce,64,,,Founder & CEO @ ZooClaw,https://www.producthunt.com/@ninghu
Kyle Dong,kyle_dong,ZooData,544,544,544,1,False,1,0,True,3,Developer Tools; Artificial Intelligence; E-Commerce,64,,,everything is well,https://www.producthunt.com/@kyle_dong
David L,david_srp,ZooData,544,544,544,1,False,1,0,True,3,Developer Tools; Artificial Intelligence; E-Commerce,64,,,,https://www.producthunt.com/@david_srp
Stanislav Kirdey,stanislav_kirdey,Clark,441,441,441,1,False,1,0,False,1,Productivity; Developer Tools; Artificial Intelligence,55,,,Founder of Clark - clarkchat.com,https://www.producthunt.com/@stanislav_kirdey
George Apostolov,gapostolov,LiveDemo,279,873,279,8,True,2,2096,False,1,Sales; SaaS; Developer Tools; GitHub,45,,https://livedemo.live,LiveDemo.ai👈👌,https://www.producthunt.com/@gapostolov
Anukar,anukarop,Mirage,205,377,205,2,True,2,175,False,1,Marketing; SaaS; Developer Tools,41,AnukarOP,,Just a Developer.,https://www.producthunt.com/@anukarop
XUEYANZ,xueyanzhang,OpenMarkdown,179,179,179,1,False,1,0,False,1,Productivity; Notes; Developer Tools,52,,,OpenMarkdown.dev | OpenTikz.org,https://www.producthunt.com/@xueyanzhang
Manu Arora,manuarora,Acebuilder,140,1198,249,11,True,1,1659,False,1,Design Tools; Tech,9,mannupaaji,https://www.manuarora.in,Senior Software Engineer | Indie Hacker,https://www.producthunt.com/@manuarora
Michał Paczyński,xpaczka,Mainichi,131,131,131,1,False,1,0,False,1,iOS; Education; Languages,28,,,"Japanese apps failed me, built Mainichi.",https://www.producthunt.com/@xpaczka
Metehan Sipahi,metehan_sipahi,WX ,125,125,125,1,False,1,0,False,1,Music; Spotify; Electronic Music,13,,,Scrap Brain Audio,https://www.producthunt.com/@metehan_sipahi
Paul Murnane,paulmurnane,DocuSmart AI ,117,117,117,1,False,1,0,False,1,Artificial Intelligence; Business Intelligence; YC Application,8,,,"Founder, building DocuSmart AI.",https://www.producthunt.com/@paulmurnane
[REDACTED],[REDACTED],Unabyss for Claude,589,0,0,0,False,0,,True,4,Productivity; Artificial Intelligence,122,,,,[REDACTED]
[REDACTED],[REDACTED],Unabyss for Claude,589,0,0,0,False,0,,True,4,Productivity; Artificial Intelligence,122,,,,[REDACTED]
[REDACTED],[REDACTED],Unabyss for Claude,589,0,0,0,False,0,,True,4,Productivity; Artificial Intelligence,122,,,,[REDACTED]
Philip Kubinski,philip_kubinski,Unabyss for Claude,589,1400,811,2,True,2,54,True,4,Productivity; Artificial Intelligence,122,,,co-founder @ Unabyss,https://www.producthunt.com/@philip_kubinski
[REDACTED],[REDACTED],Pebbles Ai,428,0,0,0,False,0,,True,4,Sales; Email Marketing; Artificial Intelligence,102,,,,[REDACTED]
[REDACTED],[REDACTED],Pebbles Ai,428,0,0,0,False,0,,True,4,Sales; Email Marketing; Artificial Intelligence,102,,,,[REDACTED]
[REDACTED],[REDACTED],Pebbles Ai,428,0,0,0,False,0,,True,4,Sales; Email Marketing; Artificial Intelligence,102,,,,[REDACTED]
Maksym Kuzmovych,kuzmovych,Pebbles Ai,428,428,428,1,False,1,1,True,4,Sales; Email Marketing; Artificial Intelligence,102,,,Head of Engineering at Pebbles Ai,https://www.producthunt.com/@kuzmovych
[REDACTED],[REDACTED],Kimi K3,437,0,0,0,False,0,,True,2,Open Source; Artificial Intelligence; Development,13,,,,[REDACTED]
Crystal J,crystal_j,Kimi K3,437,2634,437,11,True,8,912,True,2,Open Source; Artificial Intelligence; Development,13,,,Kimi Staff,https://www.producthunt.com/@crystal_j
Masaki Iino,masaki_iino,Pocket Screen,241,261,241,4,True,1,1,False,1,Mac; Productivity; Menu Bar Apps,52,,,Toybird Labs,https://www.producthunt.com/@masaki_iino
James Ketteringham,james_ketteringham,Timely,195,195,195,1,False,1,1,False,1,Email; Productivity; Calendar,45,,,Building things that interest me. ,https://www.producthunt.com/@james_ketteringham
[REDACTED],[REDACTED],Basedash Suggestions,153,0,0,0,False,0,,True,3,Artificial Intelligence; Data & Analytics; Business Intelligence,24,,,,[REDACTED]
[REDACTED],[REDACTED],Basedash Suggestions,153,0,0,0,False,0,,True,3,Artificial Intelligence; Data & Analytics; Business Intelligence,24,,,,[REDACTED]
Kristofer Lachance,kris_lachance,Basedash Suggestions,153,3240,658,21,True,17,1087,True,3,Artificial Intelligence; Data & Analytics; Business Intelligence,24,,https://www.joinskillful.com/,Building Basedash,https://www.producthunt.com/@kris_lachance
Dakota Kim,ghostscientist,Scribble Party,151,151,151,1,False,1,1,False,1,Productivity; Education; GitHub; Illustration,12,,,"Founding Engineer, MadWatch LLC",https://www.producthunt.com/@ghostscientist
Zhonglin Liu,zhonglin_liu,Aye,153,153,153,1,False,1,1,False,1,Productivity; Artificial Intelligence,26,,https://okaapps.com,Indie maker building apps,https://www.producthunt.com/@zhonglin_liu
[REDACTED],[REDACTED],Yapper Leaderboard,150,0,0,0,False,0,,True,2,Twitter; Social Media; Analytics,18,,,,[REDACTED]
Yahia Bakour,yahia_bakour3,Yapper Leaderboard,150,3809,1187,22,True,7,2266,True,2,Twitter; Social Media; Analytics,18,,,,https://www.producthunt.com/@yahia_bakour3
Andrea Sartori,pixycad, PixyCAD ,137,137,137,1,False,1,1,False,1,3D Printer; Maker Tools; 3D Modeling,14,pixycad,,PixyCAD Co-founder and marketing guru.,https://www.producthunt.com/@pixycad
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
[REDACTED],[REDACTED],Paradigm,784,0,0,0,False,0,,True,9,User Experience; Education; Career; Vercel Day,130,,,,[REDACTED]
Jiwei Yuan,jiwei_yuan,Paradigm,784,784,784,1,False,1,2,True,9,User Experience; Education; Career; Vercel Day,130,,,Builder @ Paradigm.study,https://www.producthunt.com/@jiwei_yuan
